"","site","date","temp","rain","dt"
"1",1,2019-01-01,21.6203711385787,0,4049
"2",1,2019-01-02,19.3637030891371,0,4050
"3",1,2019-01-03,19.9522226831472,0,4051
"4",1,2019-01-04,17.4398144307107,0,4052
"5",1,2019-01-05,18.9920371138579,0,4053
"6",1,2019-01-06,20.1,0,4054
"7",1,2019-01-07,20.2256474183503,0,4055
"8",1,2019-01-08,20.1,0,4056
"9",1,2019-01-09,19.8601855692893,0,4057
"10",1,2019-01-10,19.2380556707868,0,4058
"11",1,2019-01-11,19.4,0,4059
"12",1,2019-01-12,19.8,0,4060
"13",1,2019-01-13,20.8,0,4061
"14",1,2019-01-14,20.4,0,4062
"15",1,2019-01-15,19.6,0,4063
"16",1,2019-01-16,19.5,0,4064
"17",1,2019-01-17,20.2,0,4065
"18",1,2019-01-18,20.1,0,4066
"19",1,2019-01-19,19.8,0,4067
"20",1,2019-01-20,20.4,0,4068
"21",1,2019-01-21,20.4,0,4069
"22",1,2019-01-22,20.9,0,4070
"23",1,2019-01-23,21.7,0,4071
"24",1,2019-01-24,22.1,0,4072
"25",1,2019-01-25,22.7,0,4073
"26",1,2019-01-26,22.7,0,4074
"27",1,2019-01-27,23.4,0,4075
"28",1,2019-01-28,22.4,0,4076
"29",1,2019-01-29,20.1,0,4077
"30",1,2019-01-30,19.3,0,4078
"31",1,2019-01-31,19.4,0,4079
"32",1,2019-02-01,21.3,0,4080
"33",1,2019-02-02,22.1,0,4081
"34",1,2019-02-03,22.5,0,4082
"35",1,2019-02-04,21.7,0,4083
"36",1,2019-02-05,21.3,0,4084
"37",1,2019-02-06,21.2,0,4085
"38",1,2019-02-07,22.1,0,4086
"39",1,2019-02-08,23.2,NA,4087
"40",1,2019-02-09,21.7,NA,4088
"41",1,2019-02-10,21,0,4089
"42",1,2019-02-11,21.2,0,4090
"43",1,2019-02-12,22,0,4091
"44",1,2019-02-13,22.8,0,4092
"45",1,2019-02-14,23.2,0,4093
"46",1,2019-02-15,24.1,0,4094
"47",1,2019-02-16,21.9,NA,4095
"48",1,2019-02-17,20.2,NA,4096
"49",1,2019-02-18,21.8,0,4097
"50",1,2019-02-19,23.8,0,4098
"51",1,2019-02-20,23.3,0,4099
"52",1,2019-02-21,24.3,0,4100
"53",1,2019-02-22,24.7,0,4101
"54",1,2019-02-23,26.1,0,4102
"55",1,2019-02-24,24.9,NA,4103
"56",1,2019-02-25,21.6,NA,4104
"57",1,2019-02-26,20.7,NA,4105
"58",1,2019-02-27,20.2,NA,4106
"59",1,2019-02-28,20.8,NA,4107
"60",1,2019-03-01,21.3,0,4108
"61",1,2019-03-02,21.6,0,4109
"62",1,2019-03-03,22.7,0,4110
"63",1,2019-03-04,22.3,NA,4111
"64",1,2019-03-05,21.8,NA,4112
"65",1,2019-03-06,24.1,NA,4113
"66",1,2019-03-07,24.5,0,4114
"67",1,2019-03-08,23.8,0,4115
"68",1,2019-03-09,23.7,0,4116
"69",1,2019-03-10,25.2,NA,4117
"70",1,2019-03-11,26.3,0,4118
"71",1,2019-03-12,27.7,0,4119
"72",1,2019-03-13,27.6,0,4120
"73",1,2019-03-14,28.1,0,4121
"74",1,2019-03-15,28.4,0,4122
"75",1,2019-03-16,28.2,0,4123
"76",1,2019-03-17,28.1,NA,4124
"77",1,2019-03-18,25.5,0,4125
"78",1,2019-03-19,25.6,0,4126
"79",1,2019-03-20,26.8,0,4127
"80",1,2019-03-21,28.4,0,4128
"81",1,2019-03-22,28.4,0,4129
"82",1,2019-03-23,27.7,0,4130
"83",1,2019-03-24,27.9,0,4131
"84",1,2019-03-25,28.2,0,4132
"85",1,2019-03-26,28,NA,4133
"86",1,2019-03-27,24.2,NA,4134
"87",1,2019-03-28,27.3,0,4135
"88",1,2019-03-29,28.7,0,4136
"89",1,2019-03-30,29.3,0,4137
"90",1,2019-03-31,26.3,NA,4138
"91",1,2019-04-01,26,NA,4139
"92",1,2019-04-02,24.2,NA,4140
"93",1,2019-04-03,25.6,0,4141
"94",1,2019-04-04,28.3,0,4142
"95",1,2019-04-05,27.6,NA,4143
"96",1,2019-04-06,26.6,NA,4144
"97",1,2019-04-07,25.9,0,4145
"98",1,2019-04-08,25.1,NA,4146
"99",1,2019-04-09,23.3,NA,4147
"100",1,2019-04-10,24.6,0,4148
"101",1,2019-04-11,27.4,NA,4149
"102",1,2019-04-12,27.4,NA,4150
"103",1,2019-04-13,26.8,NA,4151
"104",1,2019-04-14,28.8,0,4152
"105",1,2019-04-15,29.9,0,4153
"106",1,2019-04-16,30.1,NA,4154
"107",1,2019-04-17,29.5,0,4155
"108",1,2019-04-18,28.8,0,4156
"109",1,2019-04-19,30.2,0,4157
"110",1,2019-04-20,29.9,0,4158
"111",1,2019-04-21,28.9,NA,4159
"112",1,2019-04-22,28.8,0,4160
"113",1,2019-04-23,30.1,0,4161
"114",1,2019-04-24,31.1,0,4162
"115",1,2019-04-25,32.6,0,4163
"116",1,2019-04-26,30.9,0,4164
"117",1,2019-04-27,30.8,0,4165
"118",1,2019-04-28,31.6,0,4166
"119",1,2019-04-29,31.8,0,4167
"120",1,2019-04-30,31.6,0,4168
"121",1,2019-05-01,31.9,0,4169
"122",1,2019-05-02,31.4,0,4170
"123",1,2019-05-03,27.3,NA,4171
"124",1,2019-05-04,25.2,NA,4172
"125",1,2019-05-05,30,0,4173
"126",1,2019-05-06,30.5,0,4174
"127",1,2019-05-07,30.8,0,4175
"128",1,2019-05-08,31.1,0,4176
"129",1,2019-05-09,31.4,0,4177
"130",1,2019-05-10,31.9,0,4178
"131",1,2019-05-11,31.6,NA,4179
"132",1,2019-05-12,31.2,NA,4180
"133",1,2019-05-13,29.2,NA,4181
"134",1,2019-05-14,29.3,NA,4182
"135",1,2019-05-15,30.6,NA,4183
"136",1,2019-05-16,30.1,0,4184
"137",1,2019-05-17,29.2,NA,4185
"138",1,2019-05-18,29.5,NA,4186
"139",1,2019-05-19,28.7,0,4187
"140",1,2019-05-20,30.4,0,4188
"141",1,2019-05-21,31.5,NA,4189
"142",1,2019-05-22,29.6079628861421,NA,4190
"143",1,2019-05-23,29.6920371138579,0.460185569289335,4191
"144",1,2019-05-24,28.3539814430711,NA,4192
"145",1,2019-05-25,26.2937958737817,NA,4193
"146",1,2019-05-26,31.0079628861421,0,4194
"147",1,2019-05-27,30.4761113415736,4.46380002210655,4195
"148",1,2019-05-28,31.4460185569289,0,4196
"149",1,2019-05-29,31.9681484554315,0,4197
"150",1,2019-05-30,30.9637030891371,NA,4198
"151",1,2019-05-31,29.9681484554315,NA,4199
"152",1,2019-06-01,28.9221298985025,NA,4200
"153",1,2019-06-02,26.7619443292132,NA,4201
"154",1,2019-06-03,28.1619443292132,NA,4202
"155",1,2019-06-04,27.8,NA,4203
"156",1,2019-06-05,25.8318515445685,NA,4204
"157",1,2019-06-06,28.5778701014975,NA,4205
"158",1,2019-06-07,28.7619443292132,0,4206
"159",1,2019-06-08,29.3539814430711,0,4207
"160",1,2019-06-09,28.0778701014975,NA,4208
"161",1,2019-06-10,31.0601855692893,NA,4209
"162",1,2019-06-11,31.4,0,4210
"163",1,2019-06-12,32.1238886584264,0,4211
"164",1,2019-06-13,31.8539814430711,NA,4212
"165",1,2019-06-14,30.3,0,4213
"166",1,2019-06-15,26.9,NA,4214
"167",1,2019-06-16,30.7761113415736,0,4215
"168",1,2019-06-17,30.2761113415736,NA,4216
"169",1,2019-06-18,30.8318515445685,NA,4217
"170",1,2019-06-19,32.4159257722843,0,4218
"171",1,2019-06-20,30.4,NA,4219
"172",1,2019-06-21,29.7,NA,4220
"173",1,2019-06-22,30,NA,4221
"174",1,2019-06-23,31.8539814430711,0,4222
"175",1,2019-06-24,32.1079628861421,0,4223
"176",1,2019-06-25,32.1238886584264,0,4224
"177",1,2019-06-26,31.4619443292132,0,4225
"178",1,2019-06-27,29.7380556707868,NA,4226
"179",1,2019-06-28,28.1460185569289,NA,4227
"180",1,2019-06-29,30.7539814430711,0,4228
"181",1,2019-06-30,30.2,NA,4229
"182",1,2019-07-01,30.0539814430711,NA,4230
"183",1,2019-07-02,28.5,NA,4231
"184",1,2019-07-03,29.9601855692893,NA,4232
"185",1,2019-07-04,30.7159257722843,NA,4233
"186",1,2019-07-05,30.4699072153553,NA,4234
"187",1,2019-07-06,28.6,NA,4235
"188",1,2019-07-07,28.5079628861421,NA,4236
